RowRef,IndividID,CodeType,Code,CodeDate,TOGOEstimatedCodeDate,TOGOComment
2562,1672,C,VWP124,02/01/1900,TRUE,Added from johanna's sample list
2563,1673,C,VWP123,02/01/1900,TRUE,Added from johanna's sample list
2564,1674,C,VCDP035,02/01/1900,TRUE,Added from johanna's sample list
2565,1675,C,VCDP036,02/01/1900,TRUE,Added from johanna's sample list
2566,1676,C,VCDP037,02/01/1900,TRUE,Added from johanna's sample list
2567,1677,C,VCDP038,02/01/1900,TRUE,Added from johanna's sample list
2568,1678,C,VZZP061,02/01/1900,TRUE,Added from johanna's sample list
2569,1679,C,VZZP062,02/01/1900,TRUE,Added from johanna's sample list
2570,1680,C,VFP137,02/01/1900,TRUE,Added from johanna's sample list
2571,1681,C,VFP138,02/01/1900,TRUE,Added from johanna's sample list
2572,1682,C,VFP139,02/01/1900,TRUE,Added from johanna's sample list
2573,1683,C,VDP120,02/01/1900,TRUE,Added from johanna's sample list
2574,1684,C,VDP121,02/01/1900,TRUE,Added from johanna's sample list
2575,1685,C,VDP122,02/01/1900,TRUE,Added from johanna's sample list
2576,1686,C,VDP123,02/01/1900,TRUE,Added from johanna's sample list
2577,1687,C,VNTF001,02/01/1900,TRUE,Added from johanna's sample list
2578,1688,C,VAZP001,02/01/1900,TRUE,Added from johanna's sample list
2579,1689,C,VAZP002,02/01/1900,TRUE,Added from johanna's sample list
2580,1690,C,VAZP003,02/01/1900,TRUE,Added from johanna's sample list
2581,1691,C,VAZP004,02/01/1900,TRUE,Added from johanna's sample list
2582,1692,C,VLP131,02/01/1900,TRUE,Added from johanna's sample list
2583,1693,C,VLP132,02/01/1900,TRUE,Added from johanna's sample list
2584,1694,C,VLP133,02/01/1900,TRUE,Added from johanna's sample list
2585,1695,C,VLP134,02/01/1900,TRUE,Added from johanna's sample list
2586,1696,C,VEP126,02/01/1900,TRUE,Added from johanna's sample list
2587,1697,C,VEP127,02/01/1900,TRUE,Added from johanna's sample list
2588,1698,C,VEP128,02/01/1900,TRUE,Added from johanna's sample list
2589,1699,C,VEP129,02/01/1900,TRUE,Added from johanna's sample list
2590,1700,C,VEP130,02/01/1900,TRUE,Added from johanna's sample list
2591,1701,C,VMMP046,02/01/1900,TRUE,Added from johanna's sample list
2592,1702,C,VMMP049,02/01/1900,TRUE,Added from johanna's sample list
2593,1703,C,VWP125,02/01/1900,TRUE,Added from johanna's sample list
2594,1704,C,VWP126,02/01/1900,TRUE,Added from johanna's sample list
2595,1705,C,VWP127,02/01/1900,TRUE,Added from johanna's sample list
2596,1706,C,VWP128,02/01/1900,TRUE,Added from johanna's sample list
2597,1707,C,VCDP039,02/01/1900,TRUE,Added from johanna's sample list
2598,1708,C,VCDP040,02/01/1900,TRUE,Added from johanna's sample list
2599,1709,C,VCDP041,02/01/1900,TRUE,Added from johanna's sample list
2600,1710,C,VCDP042,02/01/1900,TRUE,Added from johanna's sample list
2601,1711,C,VFP140,02/01/1900,TRUE,Added from johanna's sample list
2602,1712,C,VFP141,02/01/1900,TRUE,Added from johanna's sample list
2603,1713,C,VFP142,02/01/1900,TRUE,Added from johanna's sample list
2604,1714,C,VFP143,02/01/1900,TRUE,Added from johanna's sample list
2605,1715,C,VDP124,02/01/1900,TRUE,Added from johanna's sample list
2606,1716,C,VDP125,02/01/1900,TRUE,Added from johanna's sample list
2607,1717,C,VDP126,02/01/1900,TRUE,Added from johanna's sample list
2608,1718,C,VZZP064,02/01/1900,TRUE,Added from johanna's sample list
