"","IndividID","Code"
"1",-6,"UnknownAd"
"2",-5,"UnknownJuv"
"3",-4,"UnknownPup"
"4",-3,"Unknown"
"5",-2,"UnknownM"
"6",-1,"UnknownF"
"7",1,"VXF016"
"8",2,"VXM001"
"9",3,"VXM002"
"10",4,"VXM003"
"11",5,"VXM004"
"12",6,"VXM005"
"13",7,"VXM007"
"14",8,"VXM008"
"15",9,"VXM012"
"16",10,"VXM014"
"17",11,"VXM015"
"18",12,"VXU009"
"19",13,"VXU010"
"20",14,"VXU011"
"21",15,"VXU013"
"22",16,"VXU017"
"23",17,"VXU018"
"24",18,"VXU019"
"25",19,"VXU020"
"26",20,"VXU021"
"27",21,"VXU022"
"28",22,"VXU023"
"29",23,"VXU024"
"30",24,"VXXF002"
"31",25,"VXXF003"
"32",26,"VXXF004"
"33",27,"VXXM001"
"34",28,"VXXU005"
"35",29,"VXXU006"
"36",30,"VXXU007"
"37",31,"VXXU008"
"38",32,"VXXU009"
"39",33,"R.Y/Y_a"
"40",34,"VYF002"
"41",35,"R.Y/W"
"42",36,"R.Y/DB"
"43",37,"VYF005"
"44",38,"VYF006"
"45",39,"VYF007"
"46",40,"VYF008"
"47",41,"VYF010"
"48",43,"VYF011"
"49",44,"VYF013"
"50",45,"VYF014"
"51",46,"VYF020"
"52",47,"VYF021"
"53",48,"VYF022"
"54",49,"VYF026"
"55",50,"VYF027"
"56",51,"VYF028"
"57",52,"VYF032"
"58",53,"VYF033"
"59",54,"VYF036"
"60",55,"VYF040"
"61",56,"VYF041"
"62",57,"VYF043"
"63",58,"VYF046"
"64",59,"VYF049"
"65",60,"VYF050"
"66",61,"VYF052"
"67",62,"VYF053"
"68",63,"VYF060"
"69",64,"VYF064"
"70",65,"VYF068"
"71",66,"VYF072"
"72",67,"VYF077"
"73",68,"VYF079"
"74",69,"VYF080"
"75",70,"VYF083"
"76",71,"VYF084"
"77",72,"VYF085"
"78",73,"VYF088"
"79",74,"VYF089"
"80",75,"VYF090"
"81",76,"VYF092"
"82",77,"VYF094"
"83",78,"VYF095"
"84",79,"VYF096"
"85",80,"VYF100"
"86",81,"VYF103"
"87",82,"VYF108"
"88",83,"VYF112"
"89",84,"VYF115"
"90",85,"VYF123"
"91",86,"VYF124"
"92",87,"VYF127"
"93",88,"VYF128"
"94",89,"VYF131"
"95",90,"VYF132"
"96",91,"VYF133"
"97",92,"L.Y/PB"
"98",93,"L.Y/G"
"99",94,"L.Y/R_a"
"100",95,"VYM004"
"101",96,"VYM005"
"102",97,"VYM009"
"103",98,"VYM012"
"104",99,"VYM015"
"105",100,"VYM016"
"106",101,"VYM018"
"107",102,"VYM019"
"108",103,"VYM023"
"109",104,"VYM024"
"110",105,"VYM025"
"111",106,"VYM029"
"112",107,"VYM030"
"113",108,"VYM031"
"114",109,"VYM034"
"115",110,"VYM035"
"116",111,"VYM037"
"117",112,"VYM039"
"118",113,"VYM042"
"119",114,"VYM044"
"120",115,"VYM047"
"121",116,"VYM048"
"122",117,"VYM051"
"123",118,"VYM054"
"124",120,"VYM057"
"125",121,"VYM058"
"126",122,"VYM059"
"127",123,"VYM061"
"128",124,"VYM062"
"129",125,"VYM063"
"130",126,"VYM065"
"131",127,"VYM069"
"132",128,"VYM070"
"133",129,"VYM071"
"134",130,"VYM073"
"135",131,"VYM078"
"136",132,"VYM081"
"137",133,"VYM082"
"138",135,"VYM086"
"139",136,"VYM087"
"140",137,"VYM091"
"141",138,"VYM093"
"142",139,"VYM097"
"143",140,"VYM098"
"144",141,"VYM099"
"145",142,"VYM101"
"146",143,"VYM102"
"147",144,"VYM104"
"148",145,"VYM105"
"149",146,"VYM106"
"150",147,"VYM107"
"151",148,"VYM109"
"152",149,"VYM110"
"153",150,"VYM111"
"154",151,"VYM113"
"155",152,"VYM114"
"156",153,"VYM121"
"157",154,"VYM122"
"158",155,"VYM125"
"159",156,"VYM126"
"160",157,"VYM129"
"161",158,"VYM130"
"162",159,"VYM134"
"163",160,"VYM135"
"164",161,"VYM136"
"165",162,"VYM137"
"166",163,"VYM142"
"167",164,"VYM143"
"168",165,"VYM144"
"169",166,"VYM145"
"170",167,"VYM901"
"171",168,"VYU017"
"172",169,"VYU038"
"173",170,"VYU045"
"174",171,"VYU055"
"175",172,"VYU056"
"176",173,"VYU066"
"177",174,"VYU067"
"178",175,"VYU074"
"179",176,"VYU075"
"180",177,"VYU076"
"181",178,"VYU116"
"182",179,"VYU117"
"183",180,"VYU118"
"184",181,"VYU119"
"185",182,"VYF120"
"186",183,"VYU138"
"187",184,"VYU139"
"188",185,"VYU140"
"189",186,"VYU141"
"190",187,"VZF001"
"191",188,"VZF008"
"192",189,"VZM008"
"193",190,"VZZF002"
"194",191,"VZZF005"
"195",192,"VZZF006"
"196",193,"VZZF008"
"197",194,"VZZF009"
"198",195,"VZZF012"
"199",196,"VZZF014"
"200",197,"VZZF015"
"201",198,"VZZF017"
"202",199,"VZZF018"
"203",200,"VZZF019"
"204",201,"VZZF022"
"205",202,"VZZF023"
"206",203,"VZZF024"
"207",204,"VZZF028"
"208",205,"VZZF029"
"209",206,"VZZF031"
"210",207,"VZZF034"
"211",208,"VZZF035"
"212",209,"VZZF038"
"213",210,"VZZF042"
"214",211,"VZZF044"
"215",212,"VZZF046"
"216",213,"VZZF048"
"217",214,"VZZF052"
"218",215,"VZZF056"
"219",216,"VZZF057"
"220",217,"VZZM001"
"221",218,"VZZM003"
"222",219,"VZZM004"
"223",220,"VZZM007"
"224",221,"VZZM010"
"225",222,"VZZM011"
"226",223,"VZZM013"
"227",224,"VZZM020"
"228",225,"VZZM025"
"229",226,"VZZM026"
"230",227,"VZZM027"
"231",228,"VZZM030"
"232",229,"VZZM032"
"233",230,"VZZM033"
"234",231,"VZZM036"
"235",232,"VZZM037"
"236",233,"VZZM039"
"237",234,"VZZM041"
"238",235,"VZZM043"
"239",236,"VZZM045"
"240",237,"VZZM047"
"241",239,"VZZM049"
"242",240,"VZZM050"
"243",241,"VZZM051"
"244",242,"VZZM053"
"245",243,"VZZM054"
"246",244,"VZZM058"
"247",245,"VZZM059"
"248",246,"VZZM060"
"249",249,"VZZF016"
"250",250,"VZZU021"
"251",251,"VZZU040"
"252",252,"VZZU055"
"253",253,"VAAM001"
"254",254,"VAAM002"
"255",255,"107"
"256",256,"101"
"257",257,"103"
"258",258,"VAF004"
"259",259,"VAF005"
"260",260,"102"
"261",261,"160_a"
"262",262,"VAM003"
"263",263,"109_108"
"264",264,"104"
"265",265,"105"
"266",266,"106_110"
"267",267,"111_112"
"268",268,"124"
"269",269,"VAM010"
"270",270,"VAM011"
"271",271,"VAM012"
"272",272,"VAM013"
"273",273,"VAM014"
"274",274,"VAU901"
"275",275,"VAU902"
"276",276,"VAU903"
"277",277,"VAU904"
"278",278,"VAU905"
"279",279,"VBF001"
"280",280,"VBF002"
"281",281,"VBF003"
"282",282,"VBF012"
"283",283,"VBF013"
"284",284,"VBF020"
"285",285,"VBF027"
"286",286,"VBF030"
"287",287,"VBF031"
"288",288,"VBF033"
"289",289,"VBF037"
"290",290,"VBF038"
"291",291,"VBF039"
"292",292,"VBF041"
"293",293,"VBF042"
"294",294,"VBF043"
"295",295,"VBF046"
"296",296,"VBF049"
"297",297,"VBF061"
"298",298,"VBF065"
"299",299,"VBF068"
"300",300,"VBF069"
"301",301,"VBF076"
"302",302,"80"
"303",303,"VBM004"
"304",304,"VBM005"
"305",305,"VBM006"
"306",306,"VBM007"
"307",307,"VBM008"
"308",308,"VBM009"
"309",309,"VBM010"
"310",310,"VBM011"
"311",311,"VBM014"
"312",312,"VBM015"
"313",313,"VBM016"
"314",314,"VBM017"
"315",315,"VBM018"
"316",316,"VBM019"
"317",317,"VBM022"
"318",318,"VBM023"
"319",319,"VBM024"
"320",320,"VBM025"
"321",321,"VBM026"
"322",322,"VBM028"
"323",323,"VBM029"
"324",324,"VBM032"
"325",325,"VBM036"
"326",326,"VBM040"
"327",327,"VBM044"
"328",328,"VBM045"
"329",329,"VBM047"
"330",330,"VBM048"
"331",331,"VBM050"
"332",332,"VBM052"
"333",333,"VBM056"
"334",334,"VBM057"
"335",335,"VBM058"
"336",336,"VBM059"
"337",337,"VBM060"
"338",338,"VBM062"
"339",339,"VBM063"
"340",340,"VBM066"
"341",341,"VBM067"
"342",342,"VBU034"
"343",343,"VBU035"
"344",344,"VBU051"
"345",345,"VBU053"
"346",346,"VBU054"
"347",347,"VBU055"
"348",348,"VBU064"
"349",349,"VBU070"
"350",350,"VBU071"
"351",351,"VBU072"
"352",352,"VBU073"
"353",353,"VBU074"
"354",354,"VBU075"
"355",355,"VCDF002"
"356",356,"VCDF003"
"357",357,"VCDF005"
"358",358,"VCDF008"
"359",359,"VCDF011"
"360",360,"VCDF012"
"361",361,"VCDF013"
"362",362,"VCDF018"
"363",363,"VCDF019"
"364",364,"VCDF020"
"365",365,"VCDF022"
"366",366,"VCDF023"
"367",367,"VCDF027"
"368",368,"VCDF030"
"369",369,"VCDF033"
"370",371,"VCDM001"
"371",372,"VCDM006"
"372",373,"VCDM007"
"373",374,"VCDM009"
"374",375,"VCDM010"
"375",376,"VCDM015"
"376",377,"VCDM016"
"377",378,"VCDM017"
"378",379,"VCDM021"
"379",380,"VCDM024"
"380",381,"VCDM025"
"381",382,"VCDM026"
"382",383,"VCDM028"
"383",384,"VCDM029"
"384",385,"VCDM031"
"385",386,"VCDM032"
"386",387,"VCDM034"
"387",388,"VCDU004"
"388",389,"VCDF014"
"389",391,"VDF001"
"390",392,"VDF002"
"391",393,"VDF003"
"392",394,"VDF004"
"393",395,"VDF005"
"394",396,"VDF006"
"395",397,"VDF007"
"396",398,"VDF008"
"397",399,"VDF018"
"398",400,"VDF019"
"399",401,"VDF020"
"400",402,"VDF021"
"401",403,"VDF025"
"402",404,"VDF026"
"403",405,"VDF027"
"404",406,"VDF029"
"405",407,"VDF031"
"406",408,"VDF032"
"407",409,"VDF036"
"408",410,"VDF040"
"409",411,"VDF041"
"410",412,"VDF042"
"411",413,"VDF044"
"412",414,"VDF051"
"413",415,"VDF054"
"414",416,"VDF056"
"415",417,"VDF057"
"416",418,"VDF059"
"417",419,"VDF061"
"418",420,"VDF062"
"419",421,"VDF063"
"420",422,"VDF064"
"421",423,"VDF065"
"422",424,"VDF066"
"423",425,"VDF067"
"424",426,"VDF069"
"425",427,"VDF070"
"426",428,"VDF073"
"427",429,"VDF075"
"428",430,"VDF078"
"429",431,"VDF080"
"430",432,"VDF082"
"431",433,"VDF089"
"432",434,"VDF095"
"433",435,"VDF096"
"434",436,"VDF097"
"435",437,"VDF098"
"436",438,"VDF099"
"437",439,"VDF100"
"438",440,"VDF101"
"439",441,"VDF103"
"440",442,"VDF107"
"441",443,"VDF111"
"442",444,"VDF112"
"443",445,"VDF115"
"444",446,"VDM001"
"445",447,"VDM002"
"446",448,"VDM003"
"447",449,"VDM004"
"448",450,"VDM005"
"449",451,"VDM006"
"450",452,"VDM007"
"451",453,"VDM008"
"452",454,"VDM009"
"453",455,"VDM010"
"454",456,"VDM011"
"455",457,"VDM012"
"456",458,"VDM013"
"457",459,"VDM014"
"458",460,"VDM015"
"459",461,"VDM016"
"460",462,"VDM017"
"461",463,"VDM022"
"462",464,"VDM023"
"463",465,"VDM024"
"464",466,"VDM028"
"465",467,"VDM030"
"466",468,"VDM033"
"467",469,"VDM034"
"468",470,"VDM035"
"469",471,"VDM037"
"470",472,"VDM038"
"471",473,"VDM039"
"472",474,"VDM045"
"473",475,"VDM049"
"474",476,"VDM050"
"475",477,"VDM052"
"476",478,"VDM053"
"477",479,"VDM055"
"478",480,"VDM058"
"479",481,"VDM060"
"480",482,"VDM068"
"481",483,"VDM071"
"482",484,"VDM072"
"483",485,"VDM074"
"484",486,"VDM076"
"485",487,"VDM077"
"486",488,"VDM079"
"487",489,"VDM081"
"488",490,"VDM083"
"489",491,"VDM084"
"490",492,"VDM085"
"491",493,"VDM087"
"492",494,"VDM088"
"493",495,"VDM092"
"494",496,"VDM102"
"495",497,"VDM104"
"496",498,"VDM105"
"497",499,"VDM106"
"498",500,"VDM108"
"499",501,"VDM109"
"500",502,"VDM110"
"501",503,"VDM113"
"502",504,"VDM114"
"503",505,"VDM116"
"504",506,"VDU043"
"505",507,"VDU046"
"506",508,"VDU047"
"507",509,"VDU048"
"508",510,"VDU086"
"509",511,"VDU090"
"510",512,"VDU091"
"511",513,"VDU093"
"512",514,"VDU094"
"513",515,"VDU117"
"514",516,"VDU118"
"515",517,"VDU119"
"516",518,"VDU901"
"517",519,"VDU902"
"518",520,"VDU903"
"519",521,"VDU904"
"520",522,"VDU905"
"521",523,"VDU906"
"522",524,"VDU907"
"523",529,"VEF001"
"524",530,"VEF002"
"525",531,"VEF003"
"526",532,"VEF012"
"527",533,"VEF013"
"528",534,"VEF017"
"529",535,"VEF021"
"530",536,"VEF022"
"531",537,"VEF027"
"532",538,"VEF030"
"533",539,"VEF031"
"534",540,"VEF033"
"535",541,"VEF034"
"536",542,"VEF036"
"537",543,"VEF039"
"538",544,"VEF043"
"539",545,"VEF044"
"540",546,"VEF045"
"541",547,"VEF048"
"542",548,"VEF049"
"543",549,"VEF054"
"544",550,"VEF055"
"545",551,"VEF059"
"546",552,"VEF060"
"547",553,"VEF061"
"548",554,"VEF063"
"549",555,"VEF067"
"550",556,"VEF068"
"551",557,"VEF069"
"552",558,"VEF070"
"553",559,"VEF071"
"554",560,"VEF072"
"555",561,"VEF074"
"556",562,"VEF075"
"557",563,"VEF076"
"558",564,"VEF077"
"559",565,"VEF078"
"560",566,"VEF079"
"561",567,"VEF087"
"562",568,"VEF088"
"563",569,"VEF091"
"564",570,"VEF092"
"565",571,"VEF094"
"566",572,"VEF097"
"567",573,"VEF099"
"568",574,"VEF102"
"569",575,"VEF104"
"570",576,"VEF105"
"571",577,"VEF106"
"572",578,"VEF107"
"573",579,"VEF109"
"574",580,"VEF110"
"575",581,"VEF111"
"576",582,"VEF112"
"577",583,"VEF119"
"578",584,"VEF120"
"579",585,"VEF121"
"580",586,"VEF124"
"581",587,"VEF901"
"582",589,"VEM002"
"583",590,"VEM003"
"584",591,"VEM004"
"585",592,"VEM005"
"586",593,"VEM010"
"587",594,"VEM014"
"588",595,"VEM015"
"589",596,"VEM020"
"590",597,"VEM025"
"591",598,"VEM026"
"592",599,"VEM028"
"593",600,"VEM029"
"594",601,"VEM032"
"595",602,"VEM035"
"596",603,"VEM037"
"597",604,"VEM038"
"598",605,"VEM040"
"599",606,"VEM041"
"600",607,"VEM046"
"601",608,"VEM047"
"602",609,"VEM050"
"603",610,"VEM053"
"604",611,"VEM056"
"605",612,"VEM057"
"606",613,"VEM058"
"607",614,"VEM062"
"608",615,"VEM064"
"609",616,"VEM065"
"610",618,"VEM073"
"611",619,"VEM080"
"612",620,"VEM089"
"613",621,"VEM090"
"614",622,"VEM093"
"615",623,"VEM095"
"616",624,"VEM096"
"617",625,"VEM098"
"618",626,"VEM100"
"619",627,"VEM101"
"620",628,"VEM103"
"621",629,"VEM108"
"622",630,"VEM118"
"623",631,"VEM122"
"624",632,"VEM125"
"625",633,"VEU006"
"626",634,"VEU007"
"627",635,"VEU008"
"628",636,"VEU009"
"629",637,"VEU011"
"630",638,"VEU016"
"631",639,"VEU018"
"632",640,"VEU019"
"633",641,"VEU023"
"634",642,"VEU024"
"635",643,"VEU042"
"636",644,"VEM051"
"637",645,"VEM052"
"638",646,"VEU066"
"639",647,"VEU081"
"640",648,"VEU082"
"641",649,"VEU083"
"642",650,"VEU084"
"643",651,"VEU085"
"644",652,"VEU086"
"645",653,"VEM113"
"646",654,"VEM114"
"647",655,"VEU115"
"648",656,"VEU116"
"649",657,"VEU117"
"650",658,"VEU123"
"651",659,"VFF001"
"652",660,"VFF003"
"653",661,"VFF008"
"654",662,"VFF010"
"655",663,"VFF012"
"656",664,"VFF021"
"657",665,"VFF023"
"658",666,"VFF024"
"659",667,"VFF026"
"660",668,"VFF028"
"661",669,"VFF029"
"662",670,"VFF031"
"663",671,"VFF032"
"664",672,"VFF034"
"665",673,"VFF035"
"666",674,"VFF040"
"667",675,"VFF041"
"668",677,"VFF046"
"669",678,"VFF047"
"670",679,"VFF048"
"671",680,"VFF050"
"672",681,"VFF051"
"673",682,"VFF052"
"674",683,"VFF054"
"675",684,"VFF057"
"676",685,"VFF059"
"677",686,"VFF061"
"678",687,"VFF062"
"679",688,"VFF065"
"680",689,"VFF067"
"681",690,"VFF068"
"682",691,"VFF070"
"683",692,"VFF073"
"684",693,"VFF075"
"685",694,"VFF078"
"686",695,"VFF081"
"687",696,"VFF087"
"688",697,"VFF088"
"689",698,"VFF090"
"690",700,"VFF099"
"691",701,"VFF100"
"692",702,"VFF101"
"693",703,"VFF102"
"694",704,"VFF103"
"695",705,"VFF104"
"696",706,"VFF106"
"697",707,"VFF111"
"698",708,"VFF113"
"699",709,"VFF115"
"700",710,"VFF119"
"701",711,"VFF121"
"702",712,"VFF122"
"703",713,"VFF125"
"704",714,"VFF130"
"705",715,"VFF131"
"706",716,"VFF132"
"707",717,"VFF133"
"708",718,"VFF134"
"709",719,"VFF135"
"710",720,"VFM002"
"711",721,"VFM004"
"712",722,"VFM009"
"713",723,"VFM011"
"714",724,"VFM013"
"715",725,"VFM014"
"716",726,"VFM015"
"717",727,"VFM016"
"718",728,"VFM017"
"719",729,"VFM018"
"720",730,"VFM019"
"721",731,"VFM020"
"722",732,"VFM022"
"723",733,"VFM027"
"724",734,"VFM030"
"725",735,"VFM033"
"726",736,"VFM036"
"727",737,"VFM037"
"728",738,"VFM038"
"729",739,"VFM039"
"730",740,"VFM042"
"731",741,"VFM043"
"732",742,"VFM044"
"733",743,"VFM045"
"734",744,"VFM049"
"735",746,"VFM053"
"736",747,"VFM055"
"737",748,"VFM056"
"738",749,"VFM058"
"739",750,"VFM060"
"740",751,"VFM063"
"741",752,"VFM064"
"742",753,"VFM066"
"743",754,"VFM071"
"744",755,"VFM072"
"745",756,"VFM074"
"746",757,"VFM076"
"747",758,"VFM077"
"748",759,"VFM079"
"749",760,"VFM080"
"750",762,"VFM083"
"751",763,"VFM085"
"752",764,"VFM086"
"753",765,"VFM089"
"754",766,"VFM091"
"755",767,"VFM093"
"756",768,"VFM094"
"757",769,"VFM097"
"758",770,"VFM098"
"759",771,"VFM107"
"760",772,"VFM108"
"761",773,"VFM109"
"762",774,"VFM110"
"763",775,"VFM112"
"764",776,"VFM114"
"765",777,"VFM116"
"766",778,"VFM117"
"767",779,"VFM118"
"768",780,"VFM120"
"769",781,"VFM123"
"770",782,"VFM124"
"771",783,"VFM126"
"772",784,"VFM127"
"773",785,"VFM128"
"774",786,"VFM129"
"775",788,"VFM005"
"776",789,"VFU006"
"777",790,"VFU007"
"778",791,"VFU025"
"779",792,"VFU069"
"780",793,"VFU082"
"781",794,"VFU084"
"782",795,"VFU092"
"783",796,"VFU095"
"784",797,"VFU096"
"785",798,"VFU105"
"786",801,"VFM148"
"787",802,"VGF001"
"788",803,"VGF002"
"789",804,"128"
"790",805,"VGF004"
"791",806,"160_b"
"792",807,"VGF901"
"793",808,"VGF902"
"794",809,"VGF903"
"795",810,"VGF904"
"796",811,"VGGF009"
"797",812,"VGGF010"
"798",813,"VGGF011"
"799",814,"VGGF012"
"800",815,"VGGF014"
"801",816,"VGGF016"
"802",817,"VGGF019"
"803",818,"VGGF020"
"804",819,"VGGF023"
"805",820,"VGGF024"
"806",821,"VGGF027"
"807",822,"VGGF031"
"808",823,"VGGF032"
"809",824,"VGGF039"
"810",825,"VGGF041"
"811",826,"VGGM001"
"812",827,"VGGM002"
"813",828,"VGGM003"
"814",829,"VGGM004"
"815",830,"VGGM005"
"816",831,"VGGM006"
"817",832,"VGGM007"
"818",833,"VGGM008"
"819",834,"VGGM013"
"820",835,"VGGM015"
"821",836,"VGGM017"
"822",837,"VGGM018"
"823",838,"VGGM021"
"824",839,"VGGM022"
"825",840,"VGGM025"
"826",841,"VGGM026"
"827",842,"VGGM033"
"828",843,"VGGM034"
"829",844,"VGGM035"
"830",845,"VGGM036"
"831",846,"VGGM037"
"832",847,"VGGM038"
"833",848,"VGGM040"
"834",849,"VGGM042"
"835",850,"VGGM043"
"836",851,"VGGU028"
"837",852,"VGGU029"
"838",853,"VGGU030"
"839",854,"VGM001"
"840",855,"VGM002"
"841",856,"130"
"842",857,"VGM004"
"843",858,"126"
"844",859,"127"
"845",860,"129"
"846",861,"VGUUP1"
"847",862,"VGUUP2"
"848",863,"VGU905"
"849",864,"VGU906"
"850",865,"VHHU001"
"851",866,"VHHU002"
"852",867,"VHXF004"
"853",868,"VHXM001"
"854",869,"VHXM002"
"855",870,"VHXM003"
"856",871,"VJJF006"
"857",872,"VJJM001"
"858",873,"VJJM002"
"859",874,"VJJM003"
"860",875,"VJJM004"
"861",876,"VJJM005"
"862",877,"VJJU007"
"863",878,"VJJU008"
"864",879,"VJJU009"
"865",880,"VJJU010"
"866",881,"VJKF004"
"867",882,"VJKM001"
"868",883,"VJKM002"
"869",884,"VJKM003"
"870",885,"VJKM005"
"871",886,"VJVF001"
"872",887,"VJVF003"
"873",888,"VJVF004"
"874",889,"VJVM002"
"875",890,"VJVM005"
"876",891,"VLF001"
"877",892,"VLF002"
"878",893,"VLF003"
"879",894,"VLF004"
"880",895,"VLF005"
"881",896,"VLF008"
"882",897,"VLF009"
"883",898,"VLF013"
"884",899,"VLF014"
"885",900,"VLF015"
"886",901,"VLF017"
"887",902,"VLF019"
"888",903,"VLF021"
"889",904,"VLF022"
"890",905,"VLF024"
"891",906,"VLF026"
"892",907,"VLF027"
"893",908,"VLF030"
"894",909,"VLF033"
"895",910,"VLF035"
"896",911,"VLF036"
"897",912,"VLF040"
"898",913,"VLF041"
"899",914,"VLF043"
"900",915,"VLF045"
"901",916,"VLF046"
"902",917,"VLF047"
"903",918,"VLF048"
"904",919,"VLF049"
"905",920,"VLF053"
"906",921,"VLF055"
"907",922,"VLF056"
"908",923,"VLF057"
"909",924,"VLF060"
"910",925,"VLF061"
"911",926,"VLF064"
"912",927,"VLF067"
"913",928,"VLF068"
"914",929,"VLF069"
"915",930,"VLF071"
"916",931,"VLF074"
"917",932,"VLF078"
"918",933,"VLF083"
"919",934,"VLF087"
"920",935,"VLF089"
"921",936,"VLF092"
"922",937,"VLF094"
"923",938,"VLF095"
"924",939,"VLF096"
"925",940,"VLF097"
"926",941,"VLF100"
"927",942,"VLF101"
"928",943,"VLF102"
"929",944,"VLF103"
"930",945,"VLF107"
"931",946,"VLF108"
"932",947,"VLF110"
"933",948,"VLF111"
"934",949,"VLF118"
"935",950,"VLF120"
"936",951,"VLF121"
"937",952,"VLF123"
"938",953,"VLF128"
"939",956,"VLM001"
"940",957,"VLM002"
"941",958,"VLM003"
"942",959,"VLM006"
"943",960,"VLM007"
"944",961,"VLM010"
"945",962,"VLM011"
"946",963,"VLM016"
"947",964,"VLM018"
"948",965,"VLM020"
"949",966,"VLM023"
"950",967,"VLM029"
"951",968,"VLM034"
"952",969,"VLM037"
"953",970,"VLM038"
"954",971,"VLM039"
"955",972,"VLM042"
"956",973,"VLM044"
"957",974,"VLM050"
"958",975,"VLM051"
"959",976,"VLM052"
"960",977,"VLM054"
"961",978,"VLM058"
"962",979,"VLM059"
"963",980,"VLM062"
"964",981,"VLM070"
"965",982,"VLM072"
"966",983,"VLM073"
"967",984,"VLM075"
"968",985,"VLM076"
"969",986,"VLM077"
"970",987,"VLM080"
"971",988,"VLM081"
"972",989,"VLM085"
"973",990,"VLM086"
"974",991,"VLM088"
"975",992,"VLM090"
"976",993,"VLM091"
"977",994,"VLM093"
"978",995,"VLM098"
"979",996,"VLM099"
